epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.6320147330284118,0.7476,0.4942012710571289,0.8176,0.0004969220851487844,135.49998092651367
2,0.390625882434845,0.8478,0.49427816915512085,0.8072,0.0004877641290737884,126.44616413116455
3,0.32213788366317747,0.8796,0.3990225700378418,0.8488,0.00047275163104709196,134.13895225524902
4,0.27271108388900756,0.8932,0.4155780605316162,0.8528,0.0004522542485937369,134.86397123336792
5,0.2430717899799347,0.9043,0.48730549807548523,0.8344,0.00042677669529663686,135.2327220439911
6,0.20729182493686676,0.9202,0.4214583668708801,0.8616,0.0003969463130731183,136.76885294914246
7,0.17505285739898682,0.9344,0.4737301082134247,0.8472,0.00036349762493488667,131.15318393707275
8,0.1681410626888275,0.9356,0.3943930367469788,0.8632,0.00032725424859373687,130.0726351737976
9,0.1383460292339325,0.9466,0.4975195505142212,0.8456,0.00028910861626005774,137.85903406143188
10,0.11632504323720932,0.9568,0.4242100150108337,0.8704,0.00025,131.5114848613739
11,0.09754447125792504,0.9649,0.5073256876945496,0.848,0.00021089138373994235,135.56921482086182
12,0.09221728031635285,0.9656,0.5197760385513306,0.8544,0.00017274575140626317,131.88316988945007
13,0.0734821651339531,0.9742,0.4876749004364014,0.864,0.00013650237506511331,132.45225405693054
14,0.06648123316764831,0.9773,0.5213356410026551,0.86,0.00010305368692688174,134.66972303390503
15,0.053536072582006454,0.9817,0.49664250822067263,0.8648,7.322330470336313e-05,131.72005414962769
